,Date,Eclipse Time,Eclipse Type,Latitude,Longitude
12006,2977 January 26,10:04:13,T+,19N,131W
12007,2977 July 21,22:24:47,T+,20S,44E
12008,2978 January 15,11:50:00,P,20N,158W
12009,2978 July 11,15:23:03,P,21S,149E
12010,2979 January 4,10:59:07,N,21N,147W
12011,2979 June 1,22:22:35,P,23S,42E
12012,2979 November 25,01:51:15,P,21N,14W
12013,2980 May 21,05:32:38,T-,21S,66W
12014,2980 November 13,16:08:41,T+,18N,132E
12015,2981 May 10,06:28:37,P,17S,80W
12016,2981 November 3,08:22:42,P,15N,112W
12017,2982 March 30,17:33:19,Ne,5S,115E
12018,2982 April 29,07:44:37,N,13S,98W
12019,2982 September 24,09:51:36,N,2N,132W
12020,2982 October 23,21:51:18,N,11N,46E
12021,2983 March 20,04:28:31,P,1S,48W
12022,2983 September 13,13:34:03,P,3S,173E
12023,2984 March 8,19:52:55,T-,4N,82E
12024,2984 September 1,13:54:23,T+,8S,170E
12025,2985 February 26,11:14:26,P,9N,148W
12026,2985 August 21,18:16:56,P,12S,105E
12027,2986 February 15,21:57:16,N,14N,52E
12028,2986 July 12,22:32:25,N,20S,42E
12029,2986 August 11,05:58:03,N,16S,69W
12030,2987 January 6,06:11:45,P,22N,74W
12031,2987 July 2,15:44:11,T,22S,144E
12032,2987 December 26,06:06:34,T-,23N,74W
12033,2988 June 21,06:52:51,T,24S,84W
12034,2988 December 14,12:19:11,T,24N,168W
12035,2989 June 10,15:50:11,N,24S,141E
12036,2989 November 4,15:44:27,N,14N,138E
12037,2989 December 4,01:21:19,N,23N,5W
12038,2990 May 1,01:43:20,P,14S,8W
12039,2990 October 25,07:44:40,P,11N,102W
12040,2991 April 20,04:19:45,T+,11S,47W
12041,2991 October 14,19:45:08,T-,8N,78E
12042,2992 April 8,13:56:10,P,8S,169E
12043,2992 October 3,00:44:12,P,5N,4E
12044,2993 February 27,19:14:41,N,9N,93E
12045,2993 March 29,04:55:44,N,5S,55W
12046,2993 August 23,09:59:37,N,12S,130W
12047,2993 September 22,01:00:19,N,1N,1E
12048,2994 February 17,09:41:01,P,13N,124W
12049,2994 August 12,16:24:46,P,15S,134E
12050,2995 February 6,18:22:27,T+,16N,106E
12051,2995 August 2,05:50:01,T+,17S,67W
12052,2996 January 26,19:52:23,P,18N,83E
12053,2996 July 21,22:52:28,P,19S,37E
12054,2997 January 14,19:05:35,N,20N,93E
12055,2997 June 12,05:40:06,P,24S,66W
12056,2997 December 5,10:15:08,P,23N,138W
12057,2998 June 1,12:29:09,T-,22S,169W
12058,2998 November 25,00:38:12,T+,21N,5E
12059,2999 May 21,13:21:13,P,20S,178E
12060,2999 November 14,16:41:25,T,18N,124E
12061,3000 May 10,15:00:16,N,17S,153E
12062,3000 October 5,17:10:38,Ne,6N,118E
12063,3000 November 4,05:45:18,N,14N,72W
